Time,Gx,Gy,Gz
12.61,88.09,-9.7,-59.72
12.68,38.3,88.36,-0.7
12.75,2.55,74.2,69.8
12.81,38.36,124.27,29.48
12.89,37.63,247.78,-9.44
12.95,-16.71,173.19,57.44
13.02,-12.21,144.08,49.17
13.08,-26.03,93.21,59.42
13.15,-5.54,54.04,43.57
13.22,25.29,-26.13,-3.79
13.28,71.39,-247.24,3.44
13.35,29.9,-249.99,-25.33
13.42,-33.66,-214.03,-62.97
13.49,-83.69,-229.9,-2.68
13.55,-61.15,-236.88,-38.37
13.62,-2.97,-230.97,-109.74
13.69,33.42,-195.96,-12.9
13.75,33.94,-183.25,-11.03
13.82,0.08,-141.26,-0.45
13.88,16.46,-98.49,11.46
13.95,19.93,-64.79,17.75
14.01,6.85,-24.77,2.13
14.08,-7.74,227.48,-35.78
14.15,-16.49,250.0,-26.33
14.22,9.0,250.0,23.38
14.28,-24.28,250.0,41.56
14.35,-51.04,250.0,105.52
14.42,-69.19,248.99,43.31
14.48,-52.89,152.76,66.13
14.55,-11.91,90.93,30.04
14.62,14.01,44.73,-6.52
14.69,104.09,-215.73,-27.29
14.75,115.91,-249.99,-28.45
14.82,81.16,-249.99,10.87
14.88,85.33,-249.99,33.68
14.95,28.78,-249.99,-10.75
15.02,14.3,-248.25,-22.3
15.09,-0.25,-150.45,-10.51
15.15,-9.56,20.15,2.44
15.22,-19.8,123.22,6.26
15.28,-56.22,250.0,-10.49
15.35,-62.08,250.0,62.96
15.41,-38.31,250.0,47.18
15.48,-57.3,250.0,22.85
15.55,-34.78,186.33,43.62
15.61,-1.83,60.33,10.11
15.68,44.76,-127.62,-35.46
15.75,-18.41,-146.55,-18.18
15.81,17.75,-156.32,10.34
15.88,0.44,-104.24,19.61
15.95,22.6,-112.88,38.23
16.01,1.96,-134.13,18.09
16.08,-2.27,-117.98,-7.48
16.15,8.2,-62.43,-2.74
16.21,-2.92,-73.28,-2.52
16.28,-11.29,-23.82,2.74
16.35,-1.06,-10.39,-9.34
16.41,9.55,-21.62,-3.33
16.48,6.63,-16.3,-17.37
16.55,2.27,-16.74,-7.83
16.61,1.87,-11.31,-6.58
